seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d
8,False,0.0076778937805528375,0.34117269980135567,-0.6610205978301043,0.6763763853912099,dgp2,full_ols,Quadratic,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
9,False,0.22089285434033448,0.4257295049888527,-0.6135369754378168,1.0553226841184857,dgp2,full_ols,Quadratic,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
0,False,0.701852468811399,0.3946447952152554,-0.0716513298105016,1.4753562674332996,dgp2,pds_lasso,Quadratic,PDS-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
1,False,0.530117155819129,0.3989935545042214,-0.251910211009145,1.312144522647403,dgp2,pds_lasso,Quadratic,PDS-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
2,False,0.24895373344399252,0.3819918266920041,-0.4997502468723355,0.9976577137603205,dgp2,pds_lasso,Quadratic,PDS-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
3,False,0.49740352711370067,0.40928386910091924,-0.30479285632410097,1.2995999105515024,dgp2,pds_lasso,Quadratic,PDS-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
4,False,0.3763871129584036,0.36614089060323335,-0.34124903262393375,1.094023258540741,dgp2,pds_lasso,Quadratic,PDS-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
5,False,0.24850108492355386,0.3908526189766268,-0.5175700482706347,1.0145722181177423,dgp2,pds_lasso,Quadratic,PDS-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
6,False,0.408257620930881,0.33518258603265716,-0.24870024769312704,1.065215489554889,dgp2,pds_lasso,Quadratic,PDS-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
7,False,0.4987905649488017,0.3872080825291494,-0.2601372768083311,1.2577184067059344,dgp2,pds_lasso,Quadratic,PDS-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
8,False,-0.01247205333564732,0.3220385963165251,-0.6436677021160364,0.6187235954447419,dgp2,pds_lasso,Quadratic,PDS-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
9,False,0.2199190160469552,0.4225322486326643,-0.6082441912730668,1.0480822233669773,dgp2,pds_lasso,Quadratic,PDS-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
0,False,0.8137542544156295,0.44300911724173514,-0.05454361537817132,1.6820521242094304,dgp2,dml_lasso,Quadratic,DML-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
1,False,0.47594911643246773,0.41048168925266426,-0.3285949945027542,1.2804932273676897,dgp2,dml_lasso,Quadratic,DML-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
2,False,0.31984984402577,0.3965990811004411,-0.45748435493109463,1.0971840429826347,dgp2,dml_lasso,Quadratic,DML-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
3,False,0.4972729306134672,0.41194953359659586,-0.3101481552358607,1.3046940164627951,dgp2,dml_lasso,Quadratic,DML-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
4,False,0.39417894675437654,0.3660295808565526,-0.3232390317244666,1.1115969252332196,dgp2,dml_lasso,Quadratic,DML-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
5,False,0.21673850262679156,0.3973549579626489,-0.5620772149800002,0.9955542202335834,dgp2,dml_lasso,Quadratic,DML-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
6,False,0.38788738625793623,0.3403302526658876,-0.2791599089672035,1.054934681483076,dgp2,dml_lasso,Quadratic,DML-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
7,False,0.5738892318386155,0.4105556181852276,-0.23079977980443056,1.3785782434816616,dgp2,dml_lasso,Quadratic,DML-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
8,False,-0.03540553466367263,0.33989925958251516,-0.7016080834454024,0.630797014118057,dgp2,dml_lasso,Quadratic,DML-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
9,False,0.18181509387138037,0.4360706472900324,-0.6728833748170832,1.0365135625598438,dgp2,dml_lasso,Quadratic,DML-LASSO,0.5,,,nan,nan,nan,nan,nan,nan
0,False,0.8423499376641284,0.259668974004865,0.33339874861459295,1.3513011267136639,dgp2,dml_rf,Quadratic,DML-RF,0.5,,,nan,nan,nan,nan,nan,nan
